order_id,customer_id,product_id,order_date,quantity,discount,ship_days
10001,310,1013,2022-04-22,4,0.0,5
10002,417,1074,2024-02-10,8,0.0,7
10003,241,1067,2024-11-12,8,0.0,4
10004,348,1013,2024-10-21,9,0.05,1
10005,194,1080,2022-04-07,1,0.05,1
10006,169,1053,2024-08-31,2,0.15,5
10007,362,1012,2022-04-09,9,0.0,6
10008,473,1059,2024-05-22,4,0.15,4
10009,275,1007,2022-12-28,6,0.0,1
10010,186,1067,2023-04-04,8,0.15,2
10011,366,1076,2022-01-11,6,0.1,5
10012,44,1052,2022-01-22,5,0.0,3
10013,48,1049,2024-06-15,3,0.05,3
10014,342,1058,2024-09-05,4,0.15,3
10015,395,1077,2024-04-01,2,0.0,7
10016,198,1003,2022-06-03,1,0.0,2
10017,91,1012,2024-12-01,3,0.0,1
10018,293,1067,2024-12-20,3,0.0,2
10019,60,1077,2022-12-07,5,0.0,4
10020,456,1058,2023-02-15,6,0.05,7
10021,431,1067,2024-03-29,9,0.0,7
10022,160,1019,2023-11-08,8,0.0,4
10023,31,1073,2023-05-15,5,0.0,4
10024,314,1043,2024-04-09,2,0.2,7
10025,294,1079,2024-08-08,1,0.0,5
10026,397,1002,2023-12-31,4,0.15,4
10027,350,1009,2024-05-22,2,0.0,4
10028,191,1016,2023-06-13,3,0.1,3
10029,189,1043,2024-04-17,9,0.0,1
10030,227,1063,2022-08-10,6,0.05,3
10031,116,1027,2022-11-15,9,0.0,3
10032,118,1076,2023-07-04,9,0.05,5
10033,269,1080,2024-10-26,7,0.05,1
10034,485,1006,2022-01-17,8,0.0,3
10035,3,1059,2024-12-30,4,0.0,3
10036,100,1046,2023-01-09,1,0.0,4
10037,423,1011,2024-12-31,6,0.0,3
10038,192,1060,2023-11-07,2,0.1,7
10039,394,1055,2022-03-09,6,0.05,5
10040,439,1061,2022-09-28,4,0.0,7
10041,443,1005,2024-06-12,1,0.05,2
10042,283,1078,2022-01-22,5,0.1,4
10043,22,1021,2022-09-25,3,0.0,2
10044,293,1008,2023-09-02,7,0.1,1
10045,183,1066,2022-03-04,4,0.05,5
10046,198,1076,2023-06-07,4,0.15,3
10047,344,1047,2023-12-17,9,0.05,3
10048,170,1040,2022-04-30,5,0.1,2
10049,258,1068,2024-02-26,9,0.0,7
10050,146,1059,2024-03-29,5,0.05,1
10051,104,1074,2022-08-28,2,0.0,7
10052,116,1005,2024-05-25,9,0.0,5
10053,348,1006,2022-09-14,5,0.0,7
10054,150,1012,2023-09-24,4,0.1,7
10055,254,1034,2022-12-18,6,0.0,4
10056,449,1061,2024-09-08,5,0.1,2
10057,339,1015,2023-09-22,7,0.0,6
10058,326,1072,2024-04-13,3,0.05,6
10059,55,1080,2022-05-30,5,0.0,2
10060,407,1048,2022-12-20,2,0.0,7
10061,291,1051,2022-08-04,1,0.0,5
10062,30,1026,2023-01-03,1,0.15,6
10063,40,1029,2023-12-02,8,0.05,3
10064,391,1033,2023-09-07,7,0.0,3
10065,352,1044,2022-11-05,4,0.1,5
10066,418,1033,2022-05-24,2,0.0,7
10067,363,1076,2024-06-05,5,0.05,3
10068,19,1066,2023-05-09,3,0.0,6
10069,190,1068,2024-03-30,4,0.05,6
10070,102,1053,2024-11-09,1,0.0,3
10071,47,1065,2023-11-20,3,0.1,6
10072,344,1029,2022-01-12,1,0.1,5
10073,454,1029,2022-08-16,6,0.0,3
10074,60,1032,2022-01-08,6,0.0,6
10075,249,1080,2023-07-10,5,0.0,5
10076,17,1004,2024-05-08,5,0.0,4
10077,212,1029,2022-06-29,9,0.0,2
10078,336,1074,2022-06-02,4,0.0,5
10079,100,1035,2024-04-30,3,0.15,6
10080,53,1066,2024-12-08,4,0.05,6
10081,464,1040,2022-10-21,8,0.0,4
10082,113,1063,2024-03-09,3,0.0,2
10083,232,1042,2022-11-04,9,0.0,6
10084,445,1031,2023-04-03,2,0.0,7
10085,36,1067,2024-04-28,7,0.1,4
10086,252,1036,2024-07-29,7,0.05,2
