age,income,loan_amount,credit_utilization,late_payments_12m,region,channel,default,debt_to_income,payment_stress,is_online
47,86127.0,17158.0,0.265587360893858,4.0,East,Partner,0,0.19921743471618406,0.47805724960894436,0
39,50756.0,14194.0,0.27893469223154294,0.0,North,Online,0,0.2796516667925043,0.27893469223154294,1
48,79981.0,25723.0,0.7532925517221579,0.0,West,Partner,1,0.321613883293262,0.7532925517221579,0
30,142715.0,32134.0,0.21956492981640724,1.0,East,Online,0,0.2251620362244672,0.26347791577968865,1
71,44814.0,1000.0,0.1327928459607104,12.0,East,Online,0,0.02231445530364809,0.45149567626641535,1
53,77752.0,3284.0,0.16481177394787178,6.0,East,Branch,0,0.04223685564304151,0.36258590268531793,0
62,103980.0,1000.0,0.20013024879362856,7.0,South,Partner,0,0.009617234083385101,0.4803125971047085,0
41,81839.0,21334.0,0.2566175573600038,1.0,North,Online,1,0.2606825596566346,0.30794106883200456,1
18,95617.0,27084.0,0.11490566354469459,5.0,South,Partner,0,0.2832550697022156,0.22981132708938917,0
42,77094.0,23772.0,0.5094030898529839,4.0,West,Branch,0,0.3083508444196909,0.916925561735371,0
58,84763.0,1000.0,0.11715940076410725,0.0,East,Online,0,0.01179760036794595,0.11715940076410725,1
18,131521.0,3504.0,0.20555253398101458,3.0,East,Partner,0,0.02664213319525671,0.32888405436962337,0
56,56250.0,2555.0,0.0,11.0,North,Branch,0,0.04542222222141472,0.0,0
55,89932.0,7108.0,0.09125237279494583,6.0,North,Branch,0,0.07903749499534052,0.20075522014888084,0
35,69328.0,52331.0,0.0,7.0,East,Partner,1,0.7548321024585329,0.0,0
61,78878.0,1000.0,0.0041611863330704435,0.0,West,Branch,0,0.012677806232248819,0.0041611863330704435,0
25,85033.0,6047.0,0.22701755886725372,0.0,South,Partner,0,0.07111356767289037,0.22701755886725372,0
39,91457.0,8604.0,0.05795906558979272,5.0,South,Online,0,0.09407699793242642,0.11591813117958544,1
21,95154.0,27283.0,0.22299215938353936,0.0,West,Partner,0,0.2867246778875641,0.22299215938353936,0
60,25846.0,6909.0,0.45686813951850364,8.0,North,Online,0,0.2673140911449619,1.1878571627481096,1
46,79212.0,13820.0,0.5478970532306567,4.0,East,Branch,0,0.17446851486928158,0.9862146958151822,0
50,63768.0,25034.0,0.48793749739047054,9.0,North,Partner,0,0.3925793501381166,1.3662249926933174,0
60,90559.0,1000.0,0.7046936565183378,6.0,South,Online,0,0.011042524762739845,1.5503260443403433,1
26,97369.0,1000.0,0.3187039651962556,0.0,South,Online,0,0.010270209204056012,0.3187039651962556,1
40,83402.0,16694.0,0.35070618930264824,0.0,East,Partner,0,0.2001630656315177,0.35070618930264824,0
52,90052.0,1000.0,0.2513639153382732,1.0,South,Branch,0,0.0111046950649502,0.30163669840592783,0
18,129611.0,1000.0,0.2986378936859676,0.0,South,Online,1,0.007715394526639596,0.2986378936859676,1
31,68598.0,23887.0,0.5110219630321438,6.0,South,Online,0,0.34821714918294683,1.1242483186707164,1
56,103800.0,1000.0,0.0,11.0,North,Online,0,0.009633911367922602,0.0,1
35,31616.0,23389.0,0.6758626099764503,0.0,West,Partner,0,0.7397836538227548,0.6758626099764503,0
18,153022.0,6123.0,0.47704295689169013,0.0,East,Branch,0,0.04001385421677919,0.47704295689169013,0
71,55252.0,1000.0,0.3193984083963963,10.0,East,Partner,0,0.018098892347460746,0.958195225189189,0
45,118113.0,6264.0,0.17520720145980856,0.0,East,Online,0,0.053033959004910265,0.17520720145980856,1
18,50794.0,55065.0,0.5170726864551547,0.0,North,Online,0,1.0840847343961082,0.5170726864551547,1
51,96273.0,5763.0,0.0,7.0,East,Partner,0,0.05986102022311696,0.0,0
41,100781.0,1000.0,0.2614845305411628,0.0,East,Online,0,0.009922505234023056,0.2614845305411628,1
51,79673.0,40007.0,0.6620315870265949,-0.0,South,Branch,1,0.5021399972324108,0.6620315870265949,0
50,86183.0,19664.0,0.556042784814536,6.0,East,Branch,0,0.22816564751484442,1.2232941265919792,0
39,60294.0,51935.0,0.5900805188891399,0.0,South,Partner,1,0.8613626563030922,0.5900805188891399,0
68,63309.0,1000.0,0.44410414566017825,8.0,East,Partner,0,0.01579554249765759,1.1546707787164634,0
18,88053.0,54286.0,0.3525257743049715,1.0,South,Branch,0,0.6165150534267259,0.4230309291659658,0
31,82715.0,11895.0,0.3692198026457764,7.0,West,Partner,0,0.14380704829663535,0.8861275263498634,0
56,75821.0,1000.0,0.1269165163208703,7.0,North,Online,0,0.013188958204017503,0.30459963917008875,1
58,123124.0,1000.0,0.12223070772116029,0.0,South,Branch,0,0.008121893375717799,0.12223070772116029,0
49,73916.0,26865.0,0.0,9.0,East,Partner,0,0.3634531089295491,0.0,0
18,109361.0,1000.0,0.24622519728565467,5.0,North,Online,1,0.009144027578303564,0.49245039457130935,1
28,112935.0,1000.0,0.07498376363928815,0.0,East,Branch,0,0.00885465090530965,0.07498376363928815,0
34,61984.0,1000.0,0.1785267463054969,0.0,North,Online,0,0.016133195663136726,0.1785267463054969,1
33,66634.0,8526.0,0.2954401329082696,0.0,East,Partner,0,0.1279526968195223,0.2954401329082696,0
52,97493.0,1000.0,0.01184092724136377,4.0,South,Branch,0,0.010257146666834983,0.021313669034454787,0
18,140031.0,1000.0,0.21016063591659068,5.0,North,Online,1,0.007141275860294211,0.42032127183318135,1
18,131105.0,17507.0,0.1645868513021496,0.0,South,Partner,0,0.1335341901519123,0.1645868513021496,0
59,66636.0,34610.0,1.0,0.0,South,Online,1,0.5193889188949009,1.0,1
31,109086.0,55906.0,0.2566175573600038,0.0,North,Online,0,0.5124947289247704,0.2566175573600038,1
43,78683.0,17006.0,0.0,6.0,East,Partner,0,0.21613309100801784,0.0,0
18,109250.0,1000.0,0.08283575339108179,2.0,East,Branch,1,0.009153318077719422,0.1159700547475145,0
18,96611.0,18447.0,0.5193820044670207,0.0,East,Branch,0,0.19094099015442403,0.5193820044670207,0
49,144154.0,1000.0,0.5498637554218592,2.0,West,Partner,1,0.006937025680820948,0.7698092575906028,0
18,71388.0,10096.0,0.23639206130328227,0.0,East,Branch,0,0.14142432901690166,0.23639206130328227,0
28,114418.0,1000.0,0.13385789540803453,0.0,West,Partner,0,0.008739883584674266,0.13385789540803453,0
24,96918.0,4743.0,0.2566175573600038,-0.0,East,Branch,0,0.048938277718804164,0.2566175573600038,0
53,60218.0,24618.0,0.011510144870529385,2.0,East,Branch,1,0.4088146401340328,0.01611420281874114,0
18,52691.0,40835.0,0.40536808211531217,3.0,West,Branch,0,0.7749900362343666,0.6485889313844995,0
46,93793.0,21198.0,0.5685380264197339,4.0,East,Online,0,0.22600833750678614,1.0233684475555211,1
36,67533.0,39401.0,0.0,4.0,East,Partner,0,0.5834332844596948,0.0,0
44,121146.0,24370.0,0.4158759443917256,5.0,East,Partner,0,0.20116223399698577,0.8317518887834512,0
