age,income,loan_amount,credit_utilization,late_payments_12m,region,channel,default
47,86127.0,17158.0,0.265587360893858,4.0,East,Partner,0
39,50756.0,14194.0,0.27893469223154294,0.0,North,Online,0
48,79981.0,25723.0,0.7532925517221579,0.0,West,Partner,1
30,142715.0,32134.0,0.21956492981640724,1.0,East,Online,0
71,44814.0,-29993.0,0.1327928459607104,12.0,East,Online,0
53,77752.0,3284.0,0.16481177394787178,6.0,East,Branch,0
62,103980.0,-10021.0,0.20013024879362856,7.0,South,Partner,0
41,81839.0,21334.0,,1.0,North,Online,1
11,95617.0,27084.0,0.11490566354469459,5.0,South,Partner,0
42,77094.0,23772.0,0.5094030898529839,4.0,West,Branch,0
58,84763.0,-9808.0,0.11715940076410725,0.0,East,Online,0
4,131521.0,3504.0,0.20555253398101458,3.0,East,Partner,0
56,56250.0,2555.0,0.0,11.0,North,Branch,0
55,89932.0,7108.0,0.09125237279494583,6.0,North,Branch,0
35,69328.0,52331.0,0.0,7.0,East,Partner,1
61,78878.0,-53610.0,0.0041611863330704435,0.0,West,Branch,0
25,,6047.0,0.22701755886725372,0.0,South,Partner,0
39,91457.0,8604.0,0.05795906558979272,5.0,South,Online,0
21,95154.0,27283.0,0.22299215938353936,0.0,West,Partner,0
60,25846.0,6909.0,0.45686813951850364,8.0,North,Online,0
46,79212.0,13820.0,0.5478970532306567,4.0,East,Branch,0
50,63768.0,25034.0,0.48793749739047054,9.0,North,Partner,0
60,90559.0,-6617.0,0.7046936565183378,6.0,South,Online,0
26,97369.0,-15090.0,0.3187039651962556,0.0,South,Online,0
40,83402.0,16694.0,0.35070618930264824,0.0,East,Partner,0
52,90052.0,-8672.0,0.2513639153382732,1.0,South,Branch,0
0,129611.0,-34222.0,0.2986378936859676,0.0,South,Online,1
31,68598.0,23887.0,0.5110219630321438,6.0,South,Online,0
56,103800.0,-22753.0,0.0,11.0,North,Online,0
35,31616.0,23389.0,0.6758626099764503,0.0,West,Partner,0
16,153022.0,6123.0,0.47704295689169013,0.0,East,Branch,0
71,55252.0,-14824.0,0.3193984083963963,10.0,East,Partner,0
45,118113.0,6264.0,0.17520720145980856,0.0,East,Online,0
1,50794.0,55065.0,0.5170726864551547,0.0,North,Online,0
51,96273.0,5763.0,0.0,7.0,East,Partner,0
41,100781.0,-25027.0,0.2614845305411628,0.0,East,Online,0
51,79673.0,40007.0,0.6620315870265949,-0.0,South,Branch,1
50,86183.0,19664.0,0.556042784814536,6.0,East,Branch,0
39,60294.0,51935.0,0.5900805188891399,0.0,South,Partner,1
68,63309.0,-13723.0,0.44410414566017825,8.0,East,Partner,0
13,88053.0,54286.0,0.3525257743049715,1.0,South,Branch,0
31,82715.0,11895.0,0.3692198026457764,7.0,West,Partner,0
56,75821.0,-11581.0,0.1269165163208703,7.0,North,Online,0
58,123124.0,-44865.0,0.12223070772116029,0.0,South,Branch,0
49,73916.0,26865.0,0.0,9.0,East,Partner,0
10,109361.0,-17181.0,0.24622519728565467,5.0,North,Online,1
28,112935.0,-6126.0,0.07498376363928815,0.0,East,Branch,0
34,61984.0,-7628.0,0.1785267463054969,0.0,North,Online,0
33,66634.0,8526.0,0.2954401329082696,0.0,East,Partner,0
52,97493.0,-7874.0,0.01184092724136377,4.0,South,Branch,0
17,140031.0,-3734.0,0.21016063591659068,5.0,North,Online,1
13,131105.0,17507.0,0.1645868513021496,0.0,South,Partner,0
59,66636.0,34610.0,1.0,0.0,South,Online,1
31,109086.0,55906.0,,0.0,North,Online,0
43,78683.0,17006.0,0.0,6.0,East,Partner,0
11,109250.0,571.0,0.08283575339108179,2.0,East,Branch,1
15,96611.0,18447.0,0.5193820044670207,0.0,East,Branch,0
49,144154.0,-3129.0,0.5498637554218592,2.0,West,Partner,1
6,71388.0,10096.0,0.23639206130328227,0.0,East,Branch,0
28,114418.0,-17867.0,0.13385789540803453,0.0,West,Partner,0
24,96918.0,4743.0,,-0.0,East,Branch,0
53,60218.0,24618.0,0.011510144870529385,2.0,East,Branch,1
9,52691.0,40835.0,0.40536808211531217,3.0,West,Branch,0
46,93793.0,21198.0,0.5685380264197339,4.0,East,Online,0
36,67533.0,39401.0,0.0,4.0,East,Partner,0
44,121146.0,24370.0,0.4158759443917256,5.0,East,Partner,0
50,35466.0,6293.0,0.17511450732541,7.0,West,Branch,0
0,63938.0,760.0,0.11601565330164718,-0.0,South,Online,0
-8,70073.0,76804.0,0.4201911256133421,0.0,North,Partner,0
0,153348.0,45451.0,0.43738169069793825,8.0,South,Partner,0
48,87209.0,-2663.0,0.07786926498377944,6.0,North,Online,0
55,46591.0,-2355.0,0.7627152108355559,1.0,South,Branch,0
30,58818.0,35038.0,0.0,3.0,West,Online,0
41,85557.0,2914.0,0.5295780939034046,0.0,North,Partner,1
30,112614.0,-32724.0,0.17906209733685197,0.0,West,Branch,0
28,45994.0,-47214.0,0.49773215500873097,0.0,East,Online,0
